Cygwin Package Information
Package                                 Version                          Status
dbus-x11                                1.8.16-1                         OK
dconf-service                           0.22.0-1                         OK
ddd                                     3.3.12-3                         OK
dejagnu                                 1.5-1                            OK
desktop-file-utils                      0.21-1                           OK
dialog                                  1.2-20150225-2                   OK
diffstat                                1.59-1                           OK
diffutils                               3.3-2                            OK
djview                                  4.9-2                            OK
docbook-dsssl                           1.79-2                           OK
docbook-sgml30                          3.0-1                            OK
docbook-sgml31                          3.1-1                            OK
docbook-sgml40                          4.0-1                            OK
docbook-sgml41                          4.1-1                            OK
docbook-sgml42                          4.2-1                            OK
docbook-sgml43                          4.3-1                            OK
docbook-sgml44                          4.4-1                            OK
docbook-sgml45                          4.5-1                            OK
docbook-utils                           0.6.14-2                         OK
docbook-xml-simple10                    1.0-2                            OK
docbook-xml-simple11                    1.1-2                            OK
docbook-xml412                          4.1.2-2                          OK
docbook-xml42                           4.2-4                            OK
docbook-xml43                           4.3-2                            OK
docbook-xml44                           4.4-2                            OK
docbook-xml45                           4.5-1                            OK
docbook-xsl                             1.77.1-1                         OK
docbook2X                               0.8.8-1                          OK
dolphin                                 4.14.3-1                         OK
dos2unix                                7.2.1-1                          OK
doxygen                                 1.8.9.1-1                        OK
doxygen-doxywizard                      1.8.9.1-1                        OK
dri-drivers                             10.3.7-1                         OK
dtc                                     1.4.0-1                          OK
dtc-debuginfo                           1.4.0-1                          OK
ecj                                     3.7.2-1                          OK
ed                                      1.11-1                           OK
editrights                              1.03-1                           OK
emacs                                   24.5-1                           OK
emacs-auctex                            11.88-1                          OK
emacs-el                                24.5-1                           OK
emacs-w32                               24.5-1                           OK
emacs-X11                               24.5-1                           OK
email                                   3.2.3-git-2                      OK
enchant                                 1.6.0-1                          OK
engrampa                                1.8.1-1                          OK
eom                                     1.8.1-1                          OK
expat                                   2.1.0-3                          OK
expect                                  5.45-1                           OK
fbpanel                                 6.1-6                            OK
fcgi                                    2.4.0-3                          OK
fetchmail                               6.3.21-1                         OK
ffmpeg                                  1.2.11-1                         OK
ffmpegsource                            2.17-3                           OK
figlet                                  2.2.2-2                          OK
file                                    5.22-1                           OK
file-devel                              5.22-1                           OK
findutils                               4.5.12-1                         OK
fixesproto                              5.0-1                            OK
flac                                    1.3.1-1                          OK
flac-devel                              1.3.1-1                          OK
flawfinder                              1.27-2                           OK
flex                                    2.5.39-1                         OK
flexdll                                 0.31-1                           OK
font-adobe-dpi100                       1.0.2-1                          OK
font-adobe-dpi75                        1.0.2-1                          OK
font-alias                              1.0.3-1                          OK
font-bh-dpi100                          1.0.2-1                          OK
font-bh-dpi75                           1.0.2-1                          OK
font-bh-lucidatypewriter-dpi100         1.0.2-1                          OK
font-bh-lucidatypewriter-dpi75          1.0.2-1                          OK
font-bh-ttf                             1.0.3-1                          OK
font-bh-type1                           1.0.2-1                          OK
font-bitstream-dpi100                   1.0.2-1                          OK
font-bitstream-dpi75                    1.0.2-1                          OK
font-bitstream-speedo                   1.0.1-1                          OK
font-bitstream-type1                    1.0.2-1                          OK
font-bitstream-vera-ttf                 1.10-1                           OK
font-cantarell-otf                      0.0.16-1                         OK
font-cronyx-cyrillic                    1.0.2-1                          OK
font-cursor-misc                        1.0.2-1                          OK
font-daewoo-misc                        1.0.2-1                          OK
font-dec-misc                           1.0.2-1                          OK
font-encodings                          1.0.4-1                          OK
font-freefont-ttf                       20120503-1                       OK
font-misc-misc                          1.1.1-1                          OK
fontconfig                              2.11.1-2                         OK
fontsproto                              2.1.3-1                          OK
freetds                                 0.91.112-1                       OK
frei0r-plugins                          1.3-3                            OK
fvwm                                    2.6.5-2                          OK
gamin                                   0.1.10-15                        OK
gawk                                    4.1.1-1                          OK
gcc-core                                4.9.2-3                          OK
gcc-fortran                             4.9.2-3                          OK
gcc-g++                                 4.9.2-3                          OK
gcc-objc                                4.9.2-3                          OK
gcc-objc++                              4.9.2-3                          OK
gcompris-voices-zh_CN                   12.11-2                          OK
gconf-desktop-schemas                   2.32.1-3                         OK
GConf2                                  3.2.6-2                          OK
gcr                                     3.14.0-2                         OK
gd                                      2.1.1-1                          OK
gdb                                     7.8-2                            OK
gdbm                                    1.8.3-20                         OK
gdk-pixbuf2.0-svg                       2.40.8-1                         OK
gedit                                   3.14.3-1                         OK
gendef                                  1.0-svn2931-1                    OK
genisoimage                             1.1.11-1                         OK
geoclue                                 0.12.99-2                        OK
GeoIP                                   1.6.0-1                          OK
GeoIP-database                          20150106-1                       OK
getent                                  2.18.90-4                        OK
gettext                                 0.19.4-1                         OK
gettext-devel                           0.19.4-1                         OK
ghextris                                0.9.1-10                         OK
ghostscript                             9.15-2                           OK
ghostscript-fonts-other                 6.0-1                            OK
ghostscript-fonts-std                   8.11-1                           OK
gif2apng                                1.7-1                            OK
girepository-Atk1.0                     2.14.0-1                         OK
girepository-cairo1.0                   1.42.0-1                         OK
girepository-GdkPixbuf2.0               2.31.1-1                         OK
girepository-GIRepository2.0            1.42.0-1                         OK
girepository-GLib2.0                    1.42.0-1                         OK
girepository-Gtk2.0                     2.24.27-1                        OK
girepository-Gtk3.0                     3.14.10-1                        OK
girepository-GtkSource3.0               3.14.3-1                         OK
girepository-IBus1.0                    1.5.4-1                          OK
girepository-Pango1.0                   1.36.8-1                         OK
girepository-Peas1.0                    1.12.1-1                         OK
girepository-x11                        1.42.0-1                         OK
git                                     2.1.4-1                          OK
git-completion                          2.1.4-1                          OK
git-cvs                                 2.1.4-1                          OK
git-gui                                 2.1.4-1                          OK
git-review                              1.24-2                           OK
git-svn                                 2.1.4-1                          OK
gitk                                    2.1.4-1                          OK
gitweb                                  2.1.4-1                          OK
glib2.0-networking                      2.42.1-1                         OK
glproto                                 1.4.17-1                         OK
gmp                                     6.0.0a-2                         OK
gnome-common                            3.14.0-1                         OK
gnome-doc-utils                         0.20.10-2                        OK
gnome-icon-theme                        3.10.0-1                         OK
gnome-keyring                           3.14.0-2                         OK
gnome-python                            2.28.1-2                         OK
gnome-python-desktop                    2.32.0-7                         OK
gnome-python-extras                     2.29.0-2                         OK
gnome-terminal                          3.14.3-1                         OK
gnome-themes-standard                   3.14.2.3-2                       OK
gnupg                                   1.4.19-2                         OK
gnuplot                                 5.0.0-1                          OK
gnutls                                  3.2.21-1                         OK
gnutls-devel                            3.2.21-1                         OK
gnutls-guile                            3.2.21-1                         OK
gob2                                    2.0.20-1                         OK
gobject-introspection                   1.42.0-1                         OK
googlecl                                0.9.14-2                         OK
gperf                                   3.0.4-2                          OK
GraphicsMagick                          1.3.21-1                         OK
graphviz                                2.38.0-4                         OK
graphviz-demo                           2.38.0-4                         OK
grep                                    2.21-2                           OK
groff                                   1.22.3-1                         OK
gsettings-desktop-schemas               3.14.1-1                         OK
gsl                                     1.16-1                           OK
gstreamer0.10                           0.10.36-2                        OK
gstreamer0.10-plugins-aalib             0.10.31-6                        OK
gstreamer0.10-plugins-base              0.10.36-2                        OK
gstreamer0.10-plugins-cairo             0.10.31-6                        OK
gstreamer0.10-plugins-esd               0.10.31-6                        OK
gstreamer0.10-plugins-ffmpeg            0.10.13-1                        OK
gstreamer0.10-plugins-flac              0.10.31-6                        OK
gstreamer0.10-plugins-gconf             0.10.31-6                        OK
gstreamer0.10-plugins-gdk_pixbuf        0.10.31-6                        OK
gstreamer0.10-plugins-gio               0.10.36-2                        OK
gstreamer0.10-plugins-good              0.10.31-6                        OK
gstreamer0.10-plugins-jpeg              0.10.31-6                        OK
gstreamer0.10-plugins-libcaca           0.10.31-6                        OK
gstreamer0.10-plugins-libdv             0.10.31-6                        OK
gstreamer0.10-plugins-libpng            0.10.31-6                        OK
gstreamer0.10-plugins-nice              0.1.8-1                          OK
gstreamer0.10-plugins-ogg               0.10.36-2                        OK
gstreamer0.10-plugins-pango             0.10.36-2                        OK
gstreamer0.10-plugins-pulse             0.10.31-6                        OK
gstreamer0.10-plugins-shout2            0.10.31-6                        OK
gstreamer0.10-plugins-soup              0.10.31-6                        OK
gstreamer0.10-plugins-speex             0.10.31-6                        OK
gstreamer0.10-plugins-taglib            0.10.31-6                        OK
gstreamer0.10-plugins-theora            0.10.36-2                        OK
gstreamer0.10-plugins-vorbis            0.10.36-2                        OK
gstreamer0.10-plugins-wavpack           0.10.31-6                        OK
gstreamer0.10-plugins-ximage            0.10.36-2                        OK
gstreamer0.10-plugins-ximagesrc         0.10.31-6                        OK
gstreamer1.0-editing-services           1.4.0-1                          OK
gstreamer1.0-plugins-bad-free           1.4.5-1                          OK
gtk-doc                                 1.21-1                           OK
gtk-update-icon-cache                   3.14.10-1                        OK
gtk2.0-engines                          2.20.2-1                         OK
gtk2.0-engines-murrine                  0.98.2-1                         OK
gtk2.0-engines-pixmap                   2.24.27-1                        OK
gtk3-engines-unico                      1.0.3-bzr152-1                   OK
guile                                   1.8.8-1                          OK
guile-devel                             1.8.8-1                          OK
guile-gnutls                            3.2.21-1                         OK
